"goal","raised","backers","comments","parentCat","lat","lon"
10000,1084,26,2,"Film & Video",40.7608,-111.891
1000,1240,21,0,"Photography",47.4736,-94.8803
4000,2641,29,0,"Music",34.0522,-118.244
5000,735,14,4,"Music",44.3976,-122.736
1500,935,11,0,"Food",33.4484,-112.074
4000,4334.5,42,2,"Music",47.6062,-122.332
3500,3700,67,0,"Art",40.4198,-79.8501
15000,295,14,0,"Film & Video",53.3394,-1.28018
16500,3735,30,0,"Film & Video",33.3942,-110.786
4000,760,10,0,"Music",47.6062,-122.332
15000,1207,15,0,"Publishing",34.5008,-117.186
3000,555,17,0,"Music",39.3292,-82.1013
5000,75,1,0,"Games",42.3584,-71.0598
6000,4202,71,4,"Comics",40.0379,-76.3055
20000,9478.99,167,16,"Games",37.8044,-122.271
60000,3406,70,1,"Film & Video",37.7749,-122.419
50000,14694,147,0,"Film & Video",33.9908,-118.46
3000,15969,238,50,"Games",41.85,-87.6501
12000,12778,285,5,"Comics",21.3069,-157.858
5000,20445,310,2,"Food",38.9284,-77.056
5500,7414,152,10,"Film & Video",37.7749,-122.419
7500,1453,90,5,"Games",44.98,-93.2638
3000,3031,52,14,"Comics",37.3688,-122.036
7000,8230,41,2,"Music",33.817,-118.037
6000,8333.55,143,4,"Music",40.7143,-74.006
800,1219.6,23,0,"Film & Video",40.7143,-74.006
3000,0,0,0,"Film & Video",34.0522,-118.244
4000,0,0,0,"Publishing",26.3587,-80.0831
5000,2,2,0,"Publishing",26.3587,-80.0831
8000,5465.69,84,2,"Film & Video",40.7143,-74.006
6000,6010,87,29,"Music",32.7153,-117.157
20000,20678.99,205,13,"Film & Video",34.0522,-118.244
4000,4020,98,0,"Film & Video",40.65,-73.95
850,1511,25,0,"Film & Video",33.2148,-97.1331
2600,2887.66,34,3,"Art",47.6062,-122.332
5000,5127,35,0,"Film & Video",40.7143,-74.006
7000,321,11,0,"Photography",32.3154,34.945
5500,595,10,0,"Film & Video",30.2672,-97.7431
2000,299,12,3,"Music",40.65,-73.95
1500,30,1,0,"Film & Video",38.9284,-77.056
55000,20,1,0,"Publishing",26.3587,-80.0831
10000,10106,179,0,"Technology",40.65,-73.95
4000,840,20,0,"Fashion",37.1299,-80.4089
650,700,15,1,"Music",39.7392,-104.985
10000,45691.01,1453,94,"Design",40.65,-73.95
18000,26842,105,1,"Technology",36.332,-94.1185
5000,5009,61,5,"Publishing",39.9523,-75.1638
1700,1835,42,7,"Music",37.8716,-122.273
5000,6333,122,2,"Film & Video",37.8044,-122.271
400,515,24,0,"Music",48.7596,-122.488
3000,5245,108,3,"Theater",40.7143,-74.006
250,305,18,3,"Art",38.4405,-122.714
1000,2329,101,8,"Games",35.2271,-80.8431
4500,8673.01,544,102,"Design",44.98,-93.2638
5000,5025,70,5,"Music",45.5235,-122.676
